name,score,x,y,label
ISIC_0000000,0.19573867321014404,0,0,0
ISIC_0000004,0.2488531470298767,1,0,1
ISIC_0000009,0.1649293750524521,2,0,0
ISIC_0000015,0.17104795575141907,3,0,0
ISIC_0000023,0.1615268588066101,4,0,0
ISIC_0000024,0.1833324283361435,5,0,0
ISIC_0000027,0.1549752801656723,6,0,0
ISIC_0000028,0.16917625069618225,7,0,0
ISIC_0000029,0.16756382584571838,8,0,1
ISIC_0000031,0.1898415982723236,9,0,1
ISIC_0000050,0.17490753531455994,10,0,0
ISIC_0000054,0.1598125398159027,11,0,1
ISIC_0000066,0.15097254514694214,12,0,0
ISIC_0000067,0.15744741261005402,13,0,0
ISIC_0000072,0.2260231375694275,14,0,0
ISIC_0000080,0.2073945105075836,15,0,0
ISIC_0000087,0.2192760854959488,16,0,0
ISIC_0000093,0.22332538664340973,17,0,0
ISIC_0000095,0.2134067863225937,18,0,0
ISIC_0000099,0.17309454083442688,19,0,0
ISIC_0000100,0.20428520441055295,20,0,0
ISIC_0000102,0.2236400842666626,21,0,0
ISIC_0000103,0.21350935101509091,22,0,0
ISIC_0000104,0.2239801585674286,23,0,0
ISIC_0000109,0.2359066754579544,24,0,0
ISIC_0000110,0.19633379578590396,25,0,0
ISIC_0000111,0.1807261407375336,26,0,0
ISIC_0000116,0.22887268662452695,27,0,0
ISIC_0000124,0.2377077341079712,28,0,0
ISIC_0000127,0.20131473243236545,29,0,0
ISIC_0000128,0.22497835755348208,30,0,0
ISIC_0000133,0.29004767537117004,31,0,0
ISIC_0000139,0.1953253597021103,32,0,1
ISIC_0000140,0.21180205047130585,33,0,1
ISIC_0000141,0.17979219555854795,34,0,1
ISIC_0000143,0.18594199419021606,35,0,1
ISIC_0000150,0.2161197066307068,36,0,1
ISIC_0000152,0.1809593141078949,37,0,1
ISIC_0000157,0.200003445148468,38,0,1
ISIC_0000161,0.2268349826335907,39,0,1
ISIC_0000165,0.288659006357193,0,1,1
ISIC_0000166,0.16786910593509674,1,1,1
ISIC_0000169,0.2310774773359299,2,1,1
ISIC_0000175,0.17395848035812378,3,1,1
ISIC_0000177,0.1777169406414032,4,1,0
ISIC_0000182,0.23389987647533414,5,1,0
ISIC_0000183,0.1746075302362442,6,1,0
ISIC_0000185,0.1580512672662735,7,1,0
ISIC_0000186,0.17498153448104858,8,1,0
ISIC_0000187,0.2182007282972336,9,1,0
ISIC_0000191,0.2067949175834656,10,1,0
ISIC_0000193,0.2530278265476227,11,1,0
ISIC_0000197,0.17232990264892578,12,1,0
ISIC_0000201,0.21438917517662048,13,1,0
ISIC_0000202,0.2520449757575989,14,1,0
ISIC_0000214,0.2359008342027664,15,1,0
ISIC_0000218,0.20638194680213928,16,1,0
ISIC_0000220,0.1398383378982544,17,1,0
ISIC_0000222,0.20139408111572266,18,1,0
ISIC_0000228,0.2311820536851883,19,1,0
ISIC_0000229,0.22247152030467987,20,1,0
ISIC_0000230,0.21314306557178495,21,1,0
ISIC_0000239,0.17470304667949674,22,1,0
ISIC_0000245,0.1943497508764267,23,1,0
ISIC_0000246,0.19850628077983856,24,1,0
ISIC_0000250,0.2286305874586105,25,1,0
ISIC_0000253,0.194896012544632,26,1,0
ISIC_0000255,0.2086424678564072,27,1,0
ISIC_0000261,0.17058426141738892,28,1,0
ISIC_0000262,0.17604520916938782,29,1,0
ISIC_0000263,0.1319485455751419,30,1,0
ISIC_0000271,0.15992189943790436,31,1,0
ISIC_0000277,0.2273794561624527,32,1,1
ISIC_0000293,0.2049850672483444,33,1,1
ISIC_0000294,0.21856802701950076,34,1,1
ISIC_0000307,0.22653982043266296,35,1,1
ISIC_0000317,0.239975780248642,36,1,0
ISIC_0000319,0.24188761413097384,37,1,0
ISIC_0000320,0.1935973614454269,38,1,0
ISIC_0000322,0.22236190736293796,39,1,0
ISIC_0000325,0.2165989875793457,0,2,0
ISIC_0000326,0.209615170955658,1,2,0
ISIC_0000327,0.22876887023448944,2,2,0
ISIC_0000329,0.23483458161354065,3,2,0
ISIC_0000336,0.22202710807323456,4,2,0
ISIC_0000338,0.1802435666322708,5,2,0
ISIC_0000339,0.19193361699581146,6,2,0
ISIC_0000340,0.2400325238704681,7,2,0
ISIC_0000345,0.19924718141555786,8,2,0
ISIC_0000350,0.247062623500824,9,2,0
ISIC_0000353,0.21457917988300326,10,2,0
ISIC_0000355,0.16844886541366574,11,2,0
ISIC_0000357,0.23073317110538485,12,2,0
ISIC_0000376,0.17370003461837769,13,2,0
ISIC_0000378,0.1711086481809616,14,2,0
ISIC_0000379,0.18896803259849548,15,2,0
ISIC_0000380,0.18122534453868866,16,2,0
ISIC_0000382,0.2214374542236328,17,2,0
ISIC_0000384,0.17204175889492035,18,2,0
ISIC_0000386,0.1652274876832962,19,2,0
ISIC_0000387,0.1632736176252365,20,2,0
ISIC_0000390,0.13182757794857025,21,2,1
ISIC_0000393,0.17199201881885529,22,2,1
ISIC_0000408,0.19998836517333984,23,2,0
ISIC_0000409,0.18143658339977264,24,2,0
ISIC_0000410,0.18907424807548526,25,2,1
ISIC_0000412,0.17900730669498446,26,2,1
ISIC_0000415,0.21371270716190335,27,2,1
ISIC_0000418,0.20494170486927032,28,2,0
ISIC_0000420,0.2368646115064621,29,2,1
ISIC_0000444,0.2837461531162262,30,2,1
ISIC_0000447,0.15197177231311798,31,2,0
ISIC_0000449,0.2494966685771942,32,2,0
ISIC_0000453,0.2534626424312592,33,2,0
ISIC_0000457,0.20991000533103946,34,2,0
ISIC_0000460,0.17922791838645935,35,2,0
ISIC_0000469,0.2525517046451569,36,2,1
ISIC_0000479,0.20806655287742612,37,2,0
ISIC_0000480,0.12475363910198213,38,2,0
ISIC_0000481,0.2447507232427597,39,2,0
ISIC_0000486,0.1885550320148468,0,3,0
ISIC_0000488,0.18162687122821808,1,3,0
ISIC_0000492,0.18923014402389526,2,3,0
ISIC_0000495,0.1571670025587082,3,3,0
ISIC_0000496,0.16729450225830078,4,3,0
ISIC_0000500,0.168024942278862,5,3,0
ISIC_0000503,0.17585256695747375,6,3,0
ISIC_0000507,0.14277100563049314,7,3,0
ISIC_0000511,0.22365595400333405,8,3,1
ISIC_0000514,0.1837242692708969,9,3,0
ISIC_0000517,0.2601466774940491,10,3,1
ISIC_0000519,0.2322171330451965,11,3,1
ISIC_0000520,0.2371599972248077,12,3,1
ISIC_0000524,0.17428693175315854,13,3,0
ISIC_0000525,0.1840908378362656,14,3,0
ISIC_0000527,0.20756185054779053,15,3,0
ISIC_0000530,0.20636045932769773,16,3,0
ISIC_0000534,0.1656365543603897,17,3,0
ISIC_0000538,0.1785091757774353,18,3,0
ISIC_0000544,0.18675361573696134,19,3,0
ISIC_0000546,0.17355644702911374,20,3,0
ISIC_0000548,0.14688244462013245,21,3,1
ISIC_0000999,0.008887236937880516,22,3,0
ISIC_0001102,0.19247598946094516,23,3,1
ISIC_0001128,0.1928138732910156,24,3,1
ISIC_0001131,0.2310249507427216,25,3,1
ISIC_0001262,0.11917676776647568,26,3,0
ISIC_0001286,0.06259899586439133,27,3,0
ISIC_0001292,0.04686018079519272,28,3,0
ISIC_0001296,0.03380734100937843,29,3,0
ISIC_0001423,0.05306749418377876,30,3,0
ISIC_0001769,0.1561327427625656,31,3,0
ISIC_0001852,0.22507940232753754,32,3,0
ISIC_0002246,0.007649168837815523,33,3,0
ISIC_0002459,0.13299407064914706,34,3,0
ISIC_0002476,0.0588708259165287,35,3,0
ISIC_0002885,0.021866660565137863,36,3,0
