name,score,x,y,label
ISIC_0000000,0.04321945831179619,0,0,0
ISIC_0000004,0.5814796686172485,1,0,1
ISIC_0000009,0.023346399888396263,2,0,0
ISIC_0000015,0.16210933029651642,3,0,0
ISIC_0000023,0.05698801204562187,4,0,0
ISIC_0000024,0.11277758330106735,5,0,0
ISIC_0000027,0.019702648743987083,6,0,0
ISIC_0000028,0.18533813953399655,7,0,0
ISIC_0000029,0.7605089545249939,8,0,1
ISIC_0000031,0.8477740287780762,9,0,1
ISIC_0000050,0.3958105444908142,10,0,0
ISIC_0000054,0.057257089763879776,11,0,1
ISIC_0000066,0.3096300363540649,12,0,0
ISIC_0000067,0.058816652745008476,13,0,0
ISIC_0000072,0.21450501680374146,14,0,0
ISIC_0000080,0.2392462491989136,15,0,0
ISIC_0000087,0.06656324863433838,16,0,0
ISIC_0000093,0.0758809894323349,17,0,0
ISIC_0000095,0.07240571826696396,18,0,0
ISIC_0000099,0.2877897322177887,19,0,0
ISIC_0000100,0.0200869869440794,20,0,0
ISIC_0000102,0.002908022375777364,21,0,0
ISIC_0000103,0.11447440832853314,22,0,0
ISIC_0000104,0.027720065787434574,23,0,0
ISIC_0000109,0.7081138491630554,24,0,0
ISIC_0000110,0.4121437072753906,25,0,0
ISIC_0000111,0.07560565322637558,26,0,0
ISIC_0000116,0.4634690582752228,27,0,0
ISIC_0000124,0.015590165741741656,28,0,0
ISIC_0000127,0.572793185710907,29,0,0
ISIC_0000128,0.031352438032627106,30,0,0
ISIC_0000133,0.33695724606513977,31,0,0
ISIC_0000139,0.04208022728562355,32,0,1
ISIC_0000140,0.9344437122344972,33,0,1
ISIC_0000141,0.3696715533733368,34,0,1
ISIC_0000143,0.155067577958107,35,0,1
ISIC_0000150,0.9096421599388124,36,0,1
ISIC_0000152,0.09287123382091522,37,0,1
ISIC_0000157,0.905803918838501,38,0,1
ISIC_0000161,0.9652219414711,39,0,1
ISIC_0000165,0.7508915066719055,0,1,1
ISIC_0000166,0.29812756180763245,1,1,1
ISIC_0000169,0.8268986344337463,2,1,1
ISIC_0000175,0.027455119416117668,3,1,1
ISIC_0000177,0.12346523255109787,4,1,0
ISIC_0000182,0.07227011024951935,5,1,0
ISIC_0000183,0.5171636343002319,6,1,0
ISIC_0000185,0.00589164299890399,7,1,0
ISIC_0000186,0.0311912652105093,8,1,0
ISIC_0000187,0.029324555769562718,9,1,0
ISIC_0000191,0.023897858336567882,10,1,0
ISIC_0000193,0.32573771476745605,11,1,0
ISIC_0000197,0.009166943840682508,12,1,0
ISIC_0000201,0.010573886334896088,13,1,0
ISIC_0000202,0.009845406748354437,14,1,0
ISIC_0000214,0.928682029247284,15,1,0
ISIC_0000218,0.05578671023249626,16,1,0
ISIC_0000220,0.06078045070171356,17,1,0
ISIC_0000222,0.013477927073836328,18,1,0
ISIC_0000228,0.10798940062522888,19,1,0
ISIC_0000229,0.7736214399337769,20,1,0
ISIC_0000230,0.04041029885411263,21,1,0
ISIC_0000239,0.29995641112327576,22,1,0
ISIC_0000245,0.4542990028858185,23,1,0
ISIC_0000246,0.1926231533288956,24,1,0
ISIC_0000250,0.14934982359409332,25,1,0
ISIC_0000253,0.10661058127880096,26,1,0
ISIC_0000255,0.08809981495141983,27,1,0
ISIC_0000261,0.08027535676956178,28,1,0
ISIC_0000262,0.017290228977799416,29,1,0
ISIC_0000263,0.10709230601787567,30,1,0
ISIC_0000271,0.012581795454025269,31,1,0
ISIC_0000277,0.31270065903663635,32,1,1
ISIC_0000293,0.3433118760585785,33,1,1
ISIC_0000294,0.2172513157129288,34,1,1
ISIC_0000307,0.7784446477890015,35,1,1
ISIC_0000317,0.013686924241483213,36,1,0
ISIC_0000319,0.320417582988739,37,1,0
ISIC_0000320,0.3213626742362976,38,1,0
ISIC_0000322,0.2623792588710785,39,1,0
ISIC_0000325,0.05322858691215515,0,2,0
ISIC_0000326,0.02887862920761108,1,2,0
ISIC_0000327,0.08707854151725769,2,2,0
ISIC_0000329,0.09910499304533003,3,2,0
ISIC_0000336,0.13332520425319672,4,2,0
ISIC_0000338,0.005169854033738375,5,2,0
ISIC_0000339,0.15761807560920715,6,2,0
ISIC_0000340,0.1597350537776947,7,2,0
ISIC_0000345,0.017850065603852272,8,2,0
ISIC_0000350,0.2586621940135956,9,2,0
ISIC_0000353,0.023727282881736755,10,2,0
ISIC_0000355,0.0077561475336551675,11,2,0
ISIC_0000357,0.2407708615064621,12,2,0
ISIC_0000376,0.0426599495112896,13,2,0
ISIC_0000378,0.301969438791275,14,2,0
ISIC_0000379,0.44676899909973145,15,2,0
ISIC_0000380,0.38513046503067017,16,2,0
ISIC_0000382,0.3856538832187653,17,2,0
ISIC_0000384,0.06274820864200592,18,2,0
ISIC_0000386,0.14705343544483185,19,2,0
ISIC_0000387,0.019879268482327458,20,2,0
ISIC_0000390,0.6052724123001099,21,2,1
ISIC_0000393,0.39649850130081177,22,2,1
ISIC_0000408,0.24929815530776975,23,2,0
ISIC_0000409,0.08187740296125412,24,2,0
ISIC_0000410,0.3120540678501129,25,2,1
ISIC_0000412,0.6218851804733276,26,2,1
ISIC_0000415,0.7940981984138489,27,2,1
ISIC_0000418,0.045573588460683816,28,2,0
ISIC_0000420,0.16861800849437714,29,2,1
ISIC_0000444,0.7974312305450441,30,2,1
ISIC_0000447,0.00526642519980669,31,2,0
ISIC_0000449,0.02608644776046276,32,2,0
ISIC_0000453,0.02163607627153397,33,2,0
ISIC_0000457,0.0406477116048336,34,2,0
ISIC_0000460,0.08833715319633484,35,2,0
ISIC_0000469,0.5670968294143677,36,2,1
ISIC_0000479,0.2774987816810608,37,2,0
ISIC_0000480,0.015714243054389954,38,2,0
ISIC_0000481,0.5232346057891846,39,2,0
ISIC_0000486,0.16270792484283447,0,3,0
ISIC_0000488,0.1729191243648529,1,3,0
ISIC_0000492,0.025609185919165608,2,3,0
ISIC_0000495,0.11715681850910188,3,3,0
ISIC_0000496,0.005842504091560841,4,3,0
ISIC_0000500,0.5927304625511169,5,3,0
ISIC_0000503,0.009029445238411428,6,3,0
ISIC_0000507,0.08135650306940079,7,3,0
ISIC_0000511,0.427484929561615,8,3,1
ISIC_0000514,0.021081481128931046,9,3,0
ISIC_0000517,0.716225266456604,10,3,1
ISIC_0000519,0.7774040699005127,11,3,1
ISIC_0000520,0.2765759527683258,12,3,1
ISIC_0000524,0.39188483357429504,13,3,0
ISIC_0000525,0.4399716258049011,14,3,0
ISIC_0000527,0.3919544517993927,15,3,0
ISIC_0000530,0.4455975592136383,16,3,0
ISIC_0000534,0.019852301105856892,17,3,0
ISIC_0000538,0.2003360539674759,18,3,0
ISIC_0000544,0.2664976119995117,19,3,0
ISIC_0000546,0.0482185035943985,20,3,0
ISIC_0000548,0.03204593062400818,21,3,1
ISIC_0000999,0.003183680586516857,22,3,0
ISIC_0001102,0.9135286211967468,23,3,1
ISIC_0001128,0.33739861845970154,24,3,1
ISIC_0001131,0.9710471630096436,25,3,1
ISIC_0001262,0.004379682708531618,26,3,0
ISIC_0001286,0.0013431775150820613,27,3,0
ISIC_0001292,0.002182306256145239,28,3,0
ISIC_0001296,0.013244780711829662,29,3,0
ISIC_0001423,0.0011936507653445005,30,3,0
ISIC_0001769,0.0015394106740131974,31,3,0
ISIC_0001852,0.0007315922994166613,32,3,0
ISIC_0002246,0.0006085267523303628,33,3,0
ISIC_0002459,0.0008850772865116596,34,3,0
ISIC_0002476,0.005640903487801553,35,3,0
ISIC_0002885,0.003512952709570527,36,3,0
