name,score,x,y,label
ISIC_0000000,0.04905971139669418,0,0,0
ISIC_0000004,0.10090484470129013,1,0,1
ISIC_0000009,0.017511948943138126,2,0,0
ISIC_0000015,0.008677271194756031,3,0,0
ISIC_0000023,0.16077904403209686,4,0,0
ISIC_0000024,0.045108117163181305,5,0,0
ISIC_0000027,0.0030722359661012892,6,0,0
ISIC_0000028,0.05412651598453522,7,0,0
ISIC_0000029,0.08942607790231705,8,0,1
ISIC_0000031,0.7029664516448975,9,0,1
ISIC_0000050,0.012382173910737038,10,0,0
ISIC_0000054,0.00940578244626522,11,0,1
ISIC_0000066,0.6493159532546997,12,0,0
ISIC_0000067,0.5411090850830078,13,0,0
ISIC_0000072,0.1204335317015648,14,0,0
ISIC_0000080,0.03429892659187317,15,0,0
ISIC_0000087,0.01412820350378752,16,0,0
ISIC_0000093,0.004607893992215395,17,0,0
ISIC_0000095,0.3117392957210541,18,0,0
ISIC_0000099,0.1830868124961853,19,0,0
ISIC_0000100,0.6673957109451294,20,0,0
ISIC_0000102,0.0069576441310346135,21,0,0
ISIC_0000103,0.4356572329998016,22,0,0
ISIC_0000104,0.09559518098831177,23,0,0
ISIC_0000109,0.552091121673584,24,0,0
ISIC_0000110,0.0032152084168046713,25,0,0
ISIC_0000111,0.055603083223104484,26,0,0
ISIC_0000116,0.27317917346954346,27,0,0
ISIC_0000124,0.12850961089134216,28,0,0
ISIC_0000127,0.2444833964109421,29,0,0
ISIC_0000128,0.1308934986591339,30,0,0
ISIC_0000133,0.6024399399757385,31,0,0
ISIC_0000139,0.3089633285999298,32,0,1
ISIC_0000140,0.6868813037872314,33,0,1
ISIC_0000141,0.03536398708820343,34,0,1
ISIC_0000143,0.014120484702289103,35,0,1
ISIC_0000150,0.6527368426322937,36,0,1
ISIC_0000152,0.1252472996711731,37,0,1
ISIC_0000157,0.6227388381958008,38,0,1
ISIC_0000161,0.6195754408836365,39,0,1
ISIC_0000165,0.6009253859519958,0,1,1
ISIC_0000166,0.639881432056427,1,1,1
ISIC_0000169,0.607887327671051,2,1,1
ISIC_0000175,0.07199136167764664,3,1,1
ISIC_0000177,0.013620990328490734,4,1,0
ISIC_0000182,0.030325330793857574,5,1,0
ISIC_0000183,0.12454891204833984,6,1,0
ISIC_0000185,0.07394716888666153,7,1,0
ISIC_0000186,0.011300687678158285,8,1,0
ISIC_0000187,0.010468295775353909,9,1,0
ISIC_0000191,0.1327155828475952,10,1,0
ISIC_0000193,0.14919625222682953,11,1,0
ISIC_0000197,0.4539389312267304,12,1,0
ISIC_0000201,0.2049032747745514,13,1,0
ISIC_0000202,0.008602007292211056,14,1,0
ISIC_0000214,0.7254717946052551,15,1,0
ISIC_0000218,0.0022269757464528084,16,1,0
ISIC_0000220,0.009094676002860071,17,1,0
ISIC_0000222,0.00517438817769289,18,1,0
ISIC_0000228,0.050382081419229514,19,1,0
ISIC_0000229,0.4987071752548218,20,1,0
ISIC_0000230,0.04553908482193947,21,1,0
ISIC_0000239,0.026819704100489616,22,1,0
ISIC_0000245,0.1521778106689453,23,1,0
ISIC_0000246,0.1669805347919464,24,1,0
ISIC_0000250,0.03588664159178734,25,1,0
ISIC_0000253,0.06699663400650024,26,1,0
ISIC_0000255,0.008581587113440037,27,1,0
ISIC_0000261,0.011578980833292007,28,1,0
ISIC_0000262,0.14165739715099335,29,1,0
ISIC_0000263,0.003730387426912785,30,1,0
ISIC_0000271,0.0756615549325943,31,1,0
ISIC_0000277,0.408295214176178,32,1,1
ISIC_0000293,0.6721588373184204,33,1,1
ISIC_0000294,0.7809485793113708,34,1,1
ISIC_0000307,0.1662273406982422,35,1,1
ISIC_0000317,0.010491615161299706,36,1,0
ISIC_0000319,0.41102391481399536,37,1,0
ISIC_0000320,0.10502103716135024,38,1,0
ISIC_0000322,0.013327823020517826,39,1,0
ISIC_0000325,0.05672641843557358,0,2,0
ISIC_0000326,0.3889102637767792,1,2,0
ISIC_0000327,0.010066169314086435,2,2,0
ISIC_0000329,0.02280220203101635,3,2,0
ISIC_0000336,0.0202336423099041,4,2,0
ISIC_0000338,0.00480348477140069,5,2,0
ISIC_0000339,0.08917238563299179,6,2,0
ISIC_0000340,0.011111603118479252,7,2,0
ISIC_0000345,0.007941392250359058,8,2,0
ISIC_0000350,0.009773901663720608,9,2,0
ISIC_0000353,0.02223623543977737,10,2,0
ISIC_0000355,0.03634747862815857,11,2,0
ISIC_0000357,0.00823011714965105,12,2,0
ISIC_0000376,0.004870539531111717,13,2,0
ISIC_0000378,0.04580055177211762,14,2,0
ISIC_0000379,0.5712643265724182,15,2,0
ISIC_0000380,0.06926035135984421,16,2,0
ISIC_0000382,0.2324202209711075,17,2,0
